CO2,Country of birth/nationality,VAR,Variable,GEN,Gender,COU,Country,YEA,Year,Value,Flag Codes,Flags
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,FIN,Finland,2009,2009,20,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,FIN,Finland,2010,2010,23,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,FIN,Finland,2011,2011,23,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,FIN,Finland,2012,2012,17,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,FIN,Finland,2013,2013,33,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,FIN,Finland,2014,2014,44,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,FIN,Finland,2015,2015,30,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,FIN,Finland,2016,2016,54,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,FIN,Finland,2017,2017,41,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,FIN,Finland,2018,2018,78,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,FIN,Finland,2019,2019,103,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,FIN,Finland,2020,2020,97,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,DEU,Germany,2000,2000,4238,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,DEU,Germany,2001,2001,3262,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,DEU,Germany,2002,2002,4394,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,DEU,Germany,2003,2003,4722,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,DEU,Germany,2004,2004,4971,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,DEU,Germany,2005,2005,4176,,
